City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Dawlatabad,AF,36.41,64.91,37.87,71,0,1.21,clear sky
310,Beringovskiy,RU,63.05,179.32,21.36,95,100,12.44,overcast clouds
311,Yuncheng,CN,35.02,110.99,58.05,34,7,5.1,clear sky
312,Acapulco,MX,16.86,-99.89,82.4,83,40,5.82,scattered clouds
313,Camabatela,AO,-8.19,15.38,61.86,98,100,1.5,overcast clouds
314,Bharatpur,IN,27.22,77.48,55.4,100,5,1.12,mist
315,Pakokku,MM,21.33,95.1,79.7,80,76,2.57,broken clouds
316,Yanam,IN,16.73,82.22,80.6,74,2,5.82,mist
317,Winburg,ZA,-28.52,27.01,55.74,84,100,18.25,light rain
318,Simeykyne,UA,48.33,39.53,50.58,84,99,12.53,overcast clouds
319,Ewa Beach,US,21.32,-158.01,86.0,58,90,17.22,overcast clouds
320,Bubaque,GW,11.28,-15.83,83.44,72,98,8.59,overcast clouds
321,Ukiah,US,39.15,-123.21,73.4,27,1,2.19,clear sky
322,Sakakah,SA,29.97,40.21,64.4,17,0,5.66,clear sky
323,Kharabali,RU,47.42,47.26,46.0,99,100,2.1,overcast clouds
324,Namibe,AO,-15.2,12.15,75.85,74,99,13.02,overcast clouds
325,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,77.07,86,95,8.9,overcast clouds
326,Zharkent,KZ,44.16,80.0,38.28,64,0,0.56,clear sky
327,Najran,SA,17.49,44.13,59.0,38,0,0.4,clear sky
328,Leningradskiy,RU,69.38,178.42,15.87,88,35,6.98,scattered clouds
329,Wote,KE,-1.78,37.63,64.69,87,85,5.35,light rain
330,College,US,64.86,-147.8,10.0,77,90,3.36,light snow
331,Hasaki,JP,35.73,140.83,63.0,59,40,6.93,scattered clouds
332,Port Shepstone,ZA,-30.74,30.45,63.68,81,100,6.06,light rain
333,Valleyview,CA,55.07,-117.29,37.4,59,100,11.41,overcast clouds
334,Port-De-Bouc,FR,43.4,4.98,59.0,82,90,3.36,overcast clouds
335,Tasiilaq,GL,65.61,-37.64,32.0,96,100,8.05,overcast clouds
336,Camana,PE,-16.62,-72.71,64.9,77,92,6.53,overcast clouds
337,Kstovo,RU,56.15,44.2,41.0,86,90,8.95,overcast clouds
338,Tuatapere,NZ,-46.13,167.68,57.0,75,89,17.0,overcast clouds
339,Wete,TZ,-5.06,39.73,74.23,88,25,4.07,light rain
340,Kungurtug,RU,50.6,97.52,20.86,86,100,1.68,overcast clouds
341,Vallenar,CL,-28.57,-70.76,57.87,51,0,0.36,clear sky
